feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = k=5, feature = grotesque, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = polyurethane, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = soleil, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = procter, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = close, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = $29, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = 375, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = planned, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = sale, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = engines, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = involved, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = pratt's, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = pw4000, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = reached, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = nearly, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = $6, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = partially, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = whirlpool, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = appealing, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = gradually, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = perhaps, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = adding, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = sentence, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = won, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = centrex, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = any, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = neither, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = beef, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = aluminum, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = foil, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = won't, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = until, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = cardiovascular, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = disease, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = coronary, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = balloon, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = angioplasty, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = sewing, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = furiously, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = installing, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = world, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = congress, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = health, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = bally, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = focus, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = friday, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = extending, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = investment, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = jazz, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = 256, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = synchronous, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = asynchronous, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = remainder, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = coleco's, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = drilling, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = bit, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = substantially, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = capacity, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = zytel, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = nylon, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = resins, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = patients, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = services, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = checking, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = airline, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = schedules, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = launching, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = expensive, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = x, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = rated, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = superior, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = nationally, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = advertised, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = jeans, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = dialled, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = fire, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = station, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = choose, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = c, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = initial, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = filter, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = years, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = concern, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = 800, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = illinois, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = musicians, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = burger, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = third, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = copying, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = machine, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = 70%, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = although, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = enormously, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = hefty, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = introductory, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = green, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = giant, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = linked, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = digital's, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = cray's, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = estimated, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = attempt, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = 911, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = emergency, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = played, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = trial, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = good, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = reasonably, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = priced, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = stock, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = maker, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = included, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = dpx/2, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = huge, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = general, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = ear, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = nothing, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = hart, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = schaffner, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = marx, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = going, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = noxell, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = historically, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = crackle, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = might, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = basically, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = replace, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = existing, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = take, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = concentrate, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = voted, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = charge, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = halloween, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = gifts, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = short, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = term, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = obligations, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = optometric, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = garner, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = ground, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = coffee, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = costly, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = acquisitions, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = sarah, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = system, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = reebok, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = etonic, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = hoofs, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = jockey, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = silks, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = abuse, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = sex, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = john, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = carl, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = warnecke, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = promises, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = pressure, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = {product}, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = she, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = entry, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = level, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = fox, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = unit, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = mother's, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = it's, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = send, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = pictures, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = ordinary, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = user, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = sits, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = region, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = instance, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = jumped, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = 6, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = wilkens's, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = recruit, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = began, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = renting, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = tie, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = nationwide, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = unglamorous, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = sturdy, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = 3x, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = 275, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = testing, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = entrees, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = calling, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = wall, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = street, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = brokers, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = bet, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = future, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = hormel, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = carries, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = risk, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = transmitted, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = noise, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = anymore, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = laments, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = steve, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = segal, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = cosmair, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = lancome, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = likely, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = follow, log-likelihood score = 0.69315, sense = product
feature type = k=5, feature = bellsouth, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = gave, log-likelihood score = 0.69315, sense = phone
feature type = k=5, feature = function, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = california, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = economy, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = booming, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = past, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = risen, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lately, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = wants, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = computing, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = december, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = shortly, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = philip, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = morris, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = bought, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = struggling, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = scrapped, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = since, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = january, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sold, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = 16, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = various, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = range, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = mainframe, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = below, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = 20%, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = previous, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = counsel, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = $50, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = last, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = jenko, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = includes, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = la, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = prairie, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = care, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = shulton, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = consumer, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = possible, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = actions, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = certain, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = atlas, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = properties, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = should, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = gain, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = $19, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 95, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = order, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = finance, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = acquisition, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = furniture, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = fetch, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = ryan, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = money, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = maker, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = securities, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = investigating, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = jersey, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = attention, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = blend, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = five, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = me, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = proper, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = interval, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = cantel, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = canadian, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = residential, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = increased, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 15, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 354, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = showing, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = owned, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = link, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 1, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = workers, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = continues, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = beatrice's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = strategy, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = 39%, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = rail, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = intermodal, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = consists, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = piggyback, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = trailers, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = domestic, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = containers, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = chassis, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = site, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = using, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = yesterday's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = action, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = distinction, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = hoglund, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = diagnosis, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = breast, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = cancer, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = thomson, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = mammography, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = robert, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = l, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = stocking, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = scandal, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = awful, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sanctimonious, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = gamboni, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = butler, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = paul's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = room, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = cut, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = rent, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = spread, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = thousands, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = practice, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = support, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = expense, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lunch, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = switched, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = house, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = impression, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = brad, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = took, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = elevator, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = revitalized, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = 1985, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = dutch, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = network, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = larger, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = jersey's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = pick, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = forcing, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = chief, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = officer, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = largest, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = jump, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = pays, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = slotting, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = fees, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = sergeant's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = furred, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sleep, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = crucial, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = richard, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = mikita, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = analyst, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = researcher, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = can, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = accommodate, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 48, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = midas, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = repair, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = shops, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = pneumo, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = abex, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = aircraft, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = landing, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = gear, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = flight, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = controls, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = taking, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = sony, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = marketplace, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = produced, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = cheaper, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = center's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = list, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = goodrich's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = t/a, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = r, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = r1, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = uniroyal, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = goodrich, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = akron, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = yokohama, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = aristocratic, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = ribbon, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = coat, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = arms, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = deluxe, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = candy, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = pleased, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = pete, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = russo, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = wanted, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = conversations, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = whenever, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = lag, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = megaquest's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = bisexual, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = conversation, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = rolling, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = discussing, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = palm, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = beach, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = millionaire's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = publisher, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = douglas, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = lambert, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = disconnected, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = practical, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = notes, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = established, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = complaint, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = rewritten, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = bulletins, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = grade, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 20, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = dec, log-likelihood score = 0.69315, sense = product
